,V00,V1_1,V1_2,V1_3,V1_4,V1_5,V2_1,V2_2,V2_3,groep_split,V3_Codes,V3,V4_1,V4_2,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_8,V5_9,V6a,V6b,V7_1,V7_2,V7_3,V7_4,V7_5,id,Opmerkingen,Opmerkingen_Codes,Cijfer,GESLACHT2,OPLEID_HER,IOPOL2023,stedc,nielsen_4,LFT5,lft_weging_Niels,weging_totaal_pol
10,Ja,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Een beetje mee eens,Een beetje mee eens,Mee oneens,B,0,meer groen in de tuin zou mee helpen aan een beter klimaat maar daar zijn nog geen regels voor,5,5,4,4,5,4,6,4,5,6,5,Ja,In mijn tuin is de grond vooral beplant (groen),Een beetje mee eens,Neutraal,Neutraal,Neutraal,Een beetje mee eens,810B9D3D-C455-4944-89BF-09ACBB9A8C3E,Zijn de gegevens echt anoniem? Volgens mij zijn er via het IP adres altijd gegevens zichtbaar en zou het woord anoniem gewijzigd moeten worden naar vertrouwelijk.,,6,Vrouw,hoog,"Nee, ik heb niet gestemd",Zeer sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,1.1746977306099367
11,Ja,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,D,0,vergroenen tuin om opwarming aarde te temperen,7 Persoonlijk,7 Informeel,7 Is heel erg gevoelig,7 Is helemaal niet oprecht,7 Is heel erg deskundig,7 Is heel erg betrouwbaar,7 Is heel erg competent,7 Is heel erg eerlijk,7 Maakt zich heel veel zorgen om de maatschappij,7 Geeft heel veel om de maatschappij,7 Is heel erg intelligent,Ja,In mijn tuin is de grond vooral beplant (groen),Helemaal mee eens,Helemaal mee eens,Helemaal mee oneens,Helemaal mee eens,Neutraal,91896464-DA31-4FE8-82DF-BF40AF98923E,,,10,Man,midden,"Nee, ik heb niet gestemd",Zeer sterk stedelijk,"West (UT, NH, ZH)",65,65+,1.1363718515948062
12,Ja,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee oneens,B,0,"Het vergroenen van tuinen in grote steden kan de temperatuur verlagen en het stedelijke klimaat verbeteren. Groene tuinen absorberen minder warmte dan betegelde oppervlakken, waardoor het effect van hitte-eilanden wordt verminderd. Dit draagt niet alleen bij aan een aangenamere leefomgeving, maar bevordert ook de biodiversiteit en waterafvoer bij hevige regenval. Initiatieven zoals subsidies voor het vergroenen van tuinen kunnen bewoners stimuleren hun tuinen aan te passen en zo bij te dragen aan een duurzamere stad.",6,3,4,6,6,6,6,6,6,5,6,Ja,In mijn tuin is de grond vooral betegeld,Mee oneens,Mee eens,Neutraal,Mee eens,Mee eens,66D21151-9968-4EC5-ABAE-B8064E696034,,,10,Man,hoog,DENK,Zeer sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,1.7028114941501693
13,Ja,Helemaal mee oneens,Een beetje mee oneens,Een beetje mee oneens,Helemaal mee oneens,Een beetje mee eens,Mee oneens,Neutraal,Helemaal mee eens,D,0,Over hoe belangrijk groen is,7 Persoonlijk,5,7 Is heel erg gevoelig,7 Is helemaal niet oprecht,7 Is heel erg deskundig,7 Is heel erg betrouwbaar,7 Is heel erg competent,7 Is heel erg eerlijk,7 Maakt zich heel veel zorgen om de maatschappij,7 Geeft heel veel om de maatschappij,7 Is heel erg intelligent,Nee,,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,,885FB7C7-2905-4144-8444-8C84D00761C7,,,10,Vrouw,laag,DENK,Zeer sterk stedelijk,"West (UT, NH, ZH)",40-54,40 t/m 64,2.0712960589397866
14,Ja,Een beetje mee eens,Neutraal,Neutraal,Een beetje mee oneens,Neutraal,Mee eens,Neutraal,Mee oneens,B,1,Ik ben het helemaal eens,7 Persoonlijk,4,4,6,7 Is heel erg deskundig,7 Is heel erg betrouwbaar,6,6,7 Maakt zich heel veel zorgen om de maatschappij,6,7 Is heel erg intelligent,Nee,,Een beetje mee oneens,Mee eens,Neutraal,Neutraal,,6FCA0256-86EF-466F-96D2-C3D9432C4707,,,7,Vrouw,laag,"Nee, ik heb niet gestemd",Zeer sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,1.3326200321949433
15,Ja,Een beetje mee oneens,Helemaal mee eens,Mee eens,Mee oneens,Mee eens,Een beetje mee eens,Neutraal,Helemaal mee oneens,A,0,"Het artikel gaat over de gunstige effecten van groene tuinen in de stad. De gemiddelde temperatuur kan 0,5 graad lager liggen en droogte kan tegen worden gegaan.",6,4,5,7 Is helemaal niet oprecht,6,6,6,6,7 Maakt zich heel veel zorgen om de maatschappij,6,7 Is heel erg intelligent,Nee,,Een beetje mee oneens,Mee eens,Neutraal,Een beetje mee eens,,71638276-305F-4E09-B4DB-CF0BF2BB1D69,,,7,Vrouw,hoog,GroenLinks-PvdA,Zeer sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,1.0958031897610347
16,Ja,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee oneens,D,,,4,4,5,7 Is helemaal niet oprecht,7 Is heel erg deskundig,7 Is heel erg betrouwbaar,7 Is heel erg competent,7 Is heel erg eerlijk,7 Maakt zich heel veel zorgen om de maatschappij,6,7 Is heel erg intelligent,Nee,,Mee eens,Mee eens,Mee oneens,Mee eens,,9C81516E-E13B-430A-B89F-B203EED86B98,,,6,Man,hoog,D66,Zeer sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,0.9978642477416712
17,Ja,Een beetje mee eens,Mee eens,Helemaal mee eens,Mee oneens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee oneens,B,0,Het artikel ging over de millieuvoordelen van een tuin met planten en gras ten opzichte van een betegelde tuin. Het ging over een concreet voorbeeld van potentiële verduurzaming waar mensen zelf iets mee kunnen doen.,5,5,4,6,5,5,5,6,5,6,6,Nee,,Een beetje mee eens,Mee eens,Mee oneens,Neutraal,,898B3B71-BAD8-4992-BB96-64854B91F115,,,9,Man,midden,Volt,Zeer sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,2.030803297414861
18,Ja,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Een beetje mee oneens,B,1,Groenere tuinen zorgen voor minder hitte en betere afwatering. Weg met de tegels!,5,4,7 Is heel erg gevoelig,7 Is helemaal niet oprecht,7 Is heel erg deskundig,6,7 Is heel erg competent,6,5,7 Geeft heel veel om de maatschappij,7 Is heel erg intelligent,Ja,In mijn tuin is de grond vooral beplant (groen),Mee eens,Helemaal mee eens,Mee oneens,Mee eens,Mee eens,D93C075E-15A0-4FCC-B39D-BFCE3B17615F,,,10,Vrouw,hoog,GroenLinks-PvdA,Zeer sterk stedelijk,"West (UT, NH, ZH)",18-24,18 t/m 39,1.0958031897610347
19,Ja,Een beetje mee eens,Mee eens,Mee eens,Een beetje mee oneens,Mee eens,Mee eens,Mee eens,Een beetje mee eens,C,0,Over het vergroenen van de stad. Door meer groen en zachte grond wordt mneer water in de grond vastgehouden en kan de luchttemperatuur zakken.,5,5,6,6,6,6,6,6,6,6,6,Nee,,Mee eens,Mee eens,Een beetje mee oneens,Mee oneens,,8C2A1C60-0A55-440C-A538-E1E0984EF897,,,9,Man,midden,NSC,Zeer sterk stedelijk,"West (UT, NH, ZH)",55-64,40 t/m 64,1.0992016061210381
20,Ja,Een beetje mee oneens,Een beetje mee oneens,Neutraal,Helemaal mee oneens,Neutraal,Helemaal mee eens,Neutraal,Helemaal mee oneens,D,0,Minder tegels zijn beter voor de temperatuur en het klimaat,4,6,5,5,4,4,4,5,4,4,7 Is heel erg intelligent,Nee,,Een beetje mee oneens,Een beetje mee eens,Mee oneens,Neutraal,,B0CF9211-0DFE-44AF-92F5-605D49FF21F6,,,7,Vrouw,laag,"Nee, ik heb niet gestemd",Zeer sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,1.3326200321949433
21,Ja,Een beetje mee oneens,Een beetje mee eens,Een beetje mee eens,Neutraal,Een beetje mee eens,Mee eens,Mee eens,Mee oneens,A,0,Groenere tuinen kunnen bijdrage aan klimaatverandering. Warmte en droogte.,4,4,6,7 Is helemaal niet oprecht,6,5,2,5,7 Maakt zich heel veel zorgen om de maatschappij,6,6,Ja,In mijn tuin is de grond vooral betegeld,Helemaal mee eens,Helemaal mee eens,Een beetje mee oneens,Helemaal mee eens,Neutraal,DD2BB61A-C0E2-4064-8868-F5B98A486559,Het is dat mijn tuin klein is waardoor wij niet veel ruimte hebben om te vergroenen. Maar ik geloof zeker dat het vergroenen van de stad kan helpen.,,7,Vrouw,midden,"Nee, ik heb niet gestemd",Zeer sterk stedelijk,"West (UT, NH, ZH)",40-54,40 t/m 64,1.1128899825004623
22,Ja,Neutraal,Neutraal,Neutraal,Helemaal mee oneens,Neutraal,Helemaal mee eens,Neutraal,Mee oneens,B,0,Over meer groen in steden en in woon gebieden.,7 Persoonlijk,7 Informeel,6,7 Is helemaal niet oprecht,7 Is heel erg deskundig,7 Is heel erg betrouwbaar,7 Is heel erg competent,6,7 Maakt zich heel veel zorgen om de maatschappij,6,7 Is heel erg intelligent,Ja,In mijn tuin is de grond vooral beplant (groen),Helemaal mee eens,Helemaal mee eens,Mee oneens,Mee eens,Helemaal mee eens,B6512EEB-528E-4034-8A25-2C3BECCF646C,,,8,Vrouw,laag,D66,Matig stedelijk,"West (UT, NH, ZH)",65,65+,1.0376276499571877
23,Ja,Een beetje mee oneens,Mee eens,Een beetje mee eens,Mee oneens,Een beetje mee eens,Een beetje mee eens,Neutraal,Neutraal,C,0,Over het feit dat groene tuinen er voor kunnen zorgen dat de temperatuur lager wordt. Tuinen die bestraat zijn zorgen ervoor dat het warmer wordt.,4,5,5,6,6,5,5,6,7 Maakt zich heel veel zorgen om de maatschappij,6,5,Ja,In mijn tuin is de grond vooral betegeld,Neutraal,Mee eens,Mee oneens,Neutraal,Mee eens,CCFD26C3-0159-485C-9919-6DD6F8DC9670,,,8,Vrouw,midden,"Nee, ik heb niet gestemd",Matig stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,0.9882862243985404
24,Ja,Een beetje mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Een beetje mee eens,D,0,Over het vervangen van tegels door groen in de tuin wat een lagere temperatuur teweeg brengt en het grondwaterpeil verhoogd en het riool ontlast.,4,5,6,6,5,5,5,5,6,5,6,Ja,In mijn tuin is de grond vooral beplant (groen),Neutraal,Een beetje mee eens,Neutraal,Mee eens,Een beetje mee eens,1E350A39-F384-426E-A393-FC0AA7A05F52,Ik woon in de meest versteende wijk van Amstelveen. In mijn gemeente wordt meegedaan aan het nationale tegelwippen en de tegels gratis opgehaald. Helaas wonen er steeds meer buitenlanders in de gemeente die de tuinen compleet betegelen. Gemeenten moeten er meer werk van maken deze groep te informeren wanneer ze in de gemeente komen wonen. Wat wij verwijderen uit onze tuinen leggen zij er vele malen meer weer in. Dweilen met de kraan open dus.,,8,Vrouw,midden,PVV,Zeer sterk stedelijk,"West (UT, NH, ZH)",55-64,40 t/m 64,1.4620329878148886
25,Ja,Een beetje mee oneens,Een beetje mee eens,Neutraal,Mee oneens,Neutraal,Een beetje mee eens,Een beetje mee eens,Mee eens,A,1,Lijkt mij een duidelijke conclusie,5,5,6,6,6,6,6,6,6,7 Geeft heel veel om de maatschappij,6,Nee,,Mee eens,Mee eens,Een beetje mee eens,Neutraal,,8B8A3A5C-B9F5-4C2F-AEB1-19A75F965909,,,8,Man,laag,VVD,Matig stedelijk,"West (UT, NH, ZH)",65,65+,0.7735950172529962
26,Ja,Een beetje mee eens,Neutraal,Een beetje mee eens,Een beetje mee eens,Een beetje mee eens,Een beetje mee eens,Neutraal,Een beetje mee oneens,C,0,"Een groenere stad kan 0,5 graden koeler zijn in de nacht.",2,4,2,4,1 Is helemaal niet deskundig,4,4,4,4,4,5,Nee,,Mee oneens,Een beetje mee eens,Mee oneens,Een beetje mee eens,,71C8E289-0F95-4118-AD8C-95BD5330DB3D,,,6,Man,hoog,DENK,Zeer sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,1.7028114941501693
27,Ja,Neutraal,Een beetje mee eens,Mee eens,Een beetje mee eens,Mee eens,Een beetje mee eens,Mee eens,Neutraal,A,0,Over het nu bewezen feit dat vergroening van de tuinen in stedelijke gebieden veel kan schelen bij het verlagen van de temperatuur dus dat dit een enorme impact kan hebben op ons klimaat,3,5,4,4,4,4,4,4,4,4,4,Ja,In mijn tuin is de grond vooral beplant (groen),Een beetje mee eens,Mee eens,Neutraal,Een beetje mee oneens,Een beetje mee eens,F401015D-F432-42C6-99F2-8CD91390D3BE,de vraag hiervoor heb ik neutraal beantwoord omdat ik na het lezen van deze tekst geen echte inschatting kon maken over de betrouwbaarheid van de wetenschapper of het onderzoek. Ik zoek dan meestal ook andere bronnen,,6,Vrouw,laag,Partij voor de Dieren,Zeer sterk stedelijk,"West (UT, NH, ZH)",55-64,40 t/m 64,1.7106139130153382
28,Ja,Een beetje mee eens,Helemaal mee oneens,Een beetje mee eens,Een beetje mee eens,Een beetje mee eens,Helemaal mee oneens,Helemaal mee oneens,Helemaal mee eens,D,0,"Vergroenen van tuinen om temperatuur te verlagen. (Zet meer bomen in de straten ipv weghalen wat nu overal gebeurd, zelfde effect)",4,4,4,1 Is helemaal niet oprecht,1 Is helemaal niet deskundig,1 Is helemaal niet betrouwbaar,1 Is helemaal niet competent,1 Is helemaal niet eerlijk,1 Maakt zich totaal geen zorgen om de maatschappij,1 Geeft totaal niets om de maatschappij,1 Is helemaal niet intelligent,Ja,In mijn tuin is de grond vooral beplant (groen),Helemaal mee oneens,Helemaal mee oneens,Helemaal mee oneens,Helemaal mee oneens,Helemaal mee oneens,E9A08AE2-1F88-4566-A10C-9811254A8FB2,"Het verhaal was lekker eenzijdig, alleen maar gefocust op wat de bevolking zou moeten doen, terwijl de meeste bomen worden weggehaald en niets voor terugkomt. Daar word niets over gezegd terwijl dat eigenlijk op hetzelfde neerkomt. Heg grootste verschil daarmee is wie bet betaald.",,5,Man,midden,Forum voor Democratie,Sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,1.6537218144080401
29,Ja,Een beetje mee eens,Neutraal,Een beetje mee oneens,Een beetje mee eens,Een beetje mee oneens,Mee oneens,Neutraal,Mee eens,D,1,"Volledig mee eens. Deel van het opwarmen , vooral in steden is door gebrek aan groen, bomen en te veel beton.  Ik snap nog niet waarom er niet veel meer bomen worden geplant. 
Vlakbij waar ik woon zijn er meerdere bomen gekapt om een nieuwe inrichting van een parkeerplaats te maken en een weg aan te maken. Alle schaduw is weg  ziet ercook heel kaal uit.",5,4,5,6,6,6,5,3,3,6,3,Ja,In mijn tuin is de grond vooral beplant (groen),Een beetje mee eens,Neutraal,Mee oneens,Een beetje mee eens,Mee eens,8F1D1573-8540-4ADC-9E60-ECDFF8A77361,,,9,Vrouw,hoog,PVV,Sterk stedelijk,"West (UT, NH, ZH)",40-54,40 t/m 64,1.7228389511136781
30,Ja,Een beetje mee oneens,Mee eens,Neutraal,Een beetje mee oneens,Een beetje mee oneens,Een beetje mee oneens,Een beetje mee oneens,Een beetje mee oneens,A,,,5,5,5,4,4,4,4,4,4,5,4,Ja,In mijn tuin is de grond ongeveer evenveel beplant (groen) als betegeld,Neutraal,Een beetje mee oneens,Neutraal,Een beetje mee oneens,Een beetje mee oneens,F57160F1-0764-4A9F-AB9F-ED644AD5ECEB,,,6,Vrouw,midden,PVV,Sterk stedelijk,"Oost (OV, GD, FL)",25-39,18 t/m 39,1.7812051499185717
31,Ja,Neutraal,Neutraal,Mee oneens,Een beetje mee oneens,Een beetje mee eens,Mee eens,Mee oneens,Mee eens,A,-1,"waarom zouden tuinen moeten vergroenen terwijl overal meer beton gestort wordt voor vermeende alternatieve groene energievoorzieningen, overheden nog steeds nieuwe gebouwen neerzetten. Meer regels nog meer regels ..... mooi gezegde wil je een boot bouwen, laat mensen verlangen naar de zee",1 Zakelijk,1 Formeel,4,4,4,4,4,4,4,4,4,Ja,In mijn tuin is de grond vooral beplant (groen),Neutraal,Neutraal,Neutraal,Een beetje mee eens,Een beetje mee oneens,4EB7DDFF-B10A-4B79-874D-56F89C1BB021,Helaas is dit al een scepsis geworden en verbaasde het mij niets... wat is nog waar van alles wat wij voorgeschoteld krijgen. ga dus zelf vooral voor persoonlijke ervaringen en contact. wetenschap gaat mi altijd uit van een stelling die bewezen gaat worden dus tenzij ik er zelf bij geweest ben kan ik het naast mijn waarheidslat leggen die natuurlijk ook al gekleurd is door ea.,,7,Vrouw,laag,"Nee, ik heb niet gestemd",Sterk stedelijk,"Oost (OV, GD, FL)",55-64,40 t/m 64,0.597329458
32,Ja,Een beetje mee oneens,Een beetje mee eens,Een beetje mee oneens,Een beetje mee eens,Een beetje mee eens,Een beetje mee eens,Een beetje mee eens,Een beetje mee eens,D,0,Vergroenen van de tuinen in steden kan een temperatuurdaling van een halve graad veroorzaken,4,3,5,5,6,2,5,6,5,3,6,Ja,In mijn tuin is de grond vooral betegeld,Mee eens,Mee eens,Een beetje mee oneens,Een beetje mee eens,Mee eens,017144D4-593F-42E2-98D7-C5F12388C0C5,Prettig onderzoek met een leuke opdracht,,8,Man,midden,PVV,Sterk stedelijk,"Oost (OV, GD, FL)",40-54,40 t/m 64,1.0242059122827951
33,Ja,Neutraal,Een beetje mee eens,Een beetje mee eens,Mee oneens,Een beetje mee eens,Mee oneens,Mee oneens,Een beetje mee eens,C,0,Vergroening in steden is beter voor het leefklimaat in de steden,4,6,5,4,5,4,5,4,6,5,6,Ja,In mijn tuin is de grond vooral beplant (groen),Een beetje mee eens,Neutraal,Mee oneens,Mee oneens,Neutraal,3A39C389-882F-46FC-B68A-C2DD8FBC9D6D,,,10,Vrouw,midden,"Nee, ik heb niet gestemd",Sterk stedelijk,"Oost (OV, GD, FL)",40-54,40 t/m 64,0.871614596
34,Ja,Een beetje mee oneens,Een beetje mee eens,Een beetje mee eens,Neutraal,Mee eens,Een beetje mee eens,Een beetje mee eens,Neutraal,D,0,Minder stenen in tuinen verminderen de temperatuur en houden het water vast.,5,4,4,6,6,5,5,5,6,6,6,Ja,In mijn tuin is de grond vooral beplant (groen),Een beetje mee eens,Een beetje mee eens,Een beetje mee eens,Neutraal,Neutraal,6C544E0A-653E-49D1-BE2D-71DD2717EC99,,,7,Vrouw,laag,VVD,Sterk stedelijk,"Oost (OV, GD, FL)",65,65+,0.8202848604869809
35,Ja,Neutraal,Een beetje mee eens,Neutraal,Een beetje mee oneens,Een beetje mee eens,Mee eens,Neutraal,Een beetje mee eens,B,0,tegels uit tuinen,4,4,5,6,5,6,6,5,5,6,5,Ja,In mijn tuin is de grond vooral beplant (groen),Een beetje mee eens,Een beetje mee eens,Neutraal,Een beetje mee eens,Neutraal,7D44A699-7190-4ADF-8B2D-242760333478,,,6,Man,midden,D66,Sterk stedelijk,"Oost (OV, GD, FL)",25-39,18 t/m 39,1.5258095462450465
36,Ja,Een beetje mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Neutraal,Neutraal,A,0,Over de vergroening van steden wat beter is voor het klimaat,7 Persoonlijk,4,4,7 Is helemaal niet oprecht,7 Is heel erg deskundig,7 Is heel erg betrouwbaar,7 Is heel erg competent,7 Is heel erg eerlijk,6,7 Geeft heel veel om de maatschappij,7 Is heel erg intelligent,Nee,,Helemaal mee eens,Helemaal mee eens,Helemaal mee oneens,Mee eens,,B0113BF7-A761-49A2-A98E-1E7029AD14D6,,,8,Vrouw,laag,"Nee, ik heb niet gestemd",Sterk stedelijk,"Oost (OV, GD, FL)",55-64,40 t/m 64,0.597329458
37,Ja,Mee eens,Mee eens,Mee eens,Neutraal,Een beetje mee eens,Helemaal mee eens,Neutraal,Mee oneens,C,0,de invloed van meer groen op de warmte in een stad en de capaciteit voor het opnemen van regenwater in de bodem,4,5,5,6,7 Is heel erg deskundig,6,6,6,6,6,6,Ja,In mijn tuin is de grond vooral beplant (groen),Helemaal mee eens,Mee eens,Helemaal mee oneens,Neutraal,Neutraal,0E33BFBE-9A24-46F4-A3C3-DDB40933A5BB,,,9,Man,hoog,GroenLinks-PvdA,Zeer sterk stedelijk,"West (UT, NH, ZH)",65,65+,0.8066412293338033
38,Ja,Neutraal,Een beetje mee eens,Een beetje mee oneens,Mee oneens,Mee eens,Helemaal mee eens,Een beetje mee eens,Helemaal mee oneens,D,0,Het is lonend als je  de temperatuur naar beneden wilt brengen om de tuinen te vergroenen.,5,5,6,5,5,5,5,5,7 Maakt zich heel veel zorgen om de maatschappij,5,7 Is heel erg intelligent,Nee,,Een beetje mee eens,Een beetje mee eens,Mee eens,Neutraal,,D2D80EE8-F7D8-431B-8C56-C1FB5FE35572,,,9,Vrouw,midden,VVD,Zeer sterk stedelijk,"West (UT, NH, ZH)",65,65+,1.128587747346252
